# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = logistic_model
# start_datetime = 2025-05-10 18:46:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data.json
# init = 0
# random
#   seed = 17271
# output
#   file = /home/daniel-hartman/Documents/OPEN_projects/Bayes_LC50/runfiles/logistic-20250510144606.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=logistic.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,beta.1,beta.2,beta.3,beta.4
# Adaptation terminated
# Step size = 0.380237
# Diagonal elements of inverse mass matrix:
# 0.000252283, 0.412938, 1.27493e-05, 1.37146e-05, 1.33848e-05, 4.1085e-05
-1046.45,0.456355,0.380237,2,7,0,1049.96,0.03487,0.0321878,0.00584081,0.0288973,0.0248531,0.0332577
-1044.31,0.88725,0.380237,2,3,0,1050.12,0.0442563,0.0263445,0.00498457,0.0248235,0.024494,0.031579
-1041.76,0.92944,0.380237,3,7,0,1044.93,0.0162731,0.0142203,0.00482395,0.0241775,0.0234617,0.0349821
-1044,0.617002,0.380237,2,3,0,1045.71,0.0203592,0.010794,0.00260155,0.0229587,0.0254546,0.0337911
-1044.13,0.930117,0.380237,3,7,0,1047.87,0.0198051,0.00866073,0.00410767,0.0207439,0.0240431,0.0339049
-1044.72,0.302208,0.380237,3,7,0,1048.66,0.0294809,0.0202427,0.00580381,0.0257686,0.0226954,0.0240112
-1043.5,1,0.380237,2,3,0,1046.82,0.0149262,0.00950562,0.00446129,0.0215549,0.0215394,0.032201
-1043.56,1,0.380237,3,7,0,1044.6,0.0195662,0.0105391,0.00607109,0.027053,0.0248988,0.0266383
-1046.57,0.802066,0.380237,2,3,0,1048.1,0.0209665,0.00932639,0.00488099,0.0292135,0.0233179,0.0232075
-1046.46,0.756136,0.380237,2,3,0,1048.91,0.0127757,0.00836466,0.00373826,0.0281836,0.023013,0.0263152
-1044.54,0.594697,0.380237,2,3,0,1049.42,0.037325,0.0176489,0.00734521,0.0243184,0.0244751,0.0307114
-1045.59,0.741512,0.380237,3,7,0,1047.64,-0.00469192,0.0402898,0.00342227,0.0230799,0.0232094,0.0397099
-1046.38,0.966395,0.380237,3,7,0,1047.23,-0.0146953,0.0318879,0.0039313,0.0244378,0.0234477,0.039724
-1044.13,0.983226,0.380237,3,11,0,1048.15,0.0272056,0.0375009,0.00622545,0.025802,0.022166,0.0361093
-1049.72,0.704551,0.380237,3,15,0,1053.03,-0.032769,0.159761,0.00623695,0.0266572,0.0209899,0.0307271
-1050.02,0.647775,0.380237,2,7,0,1057.91,-0.00227559,0.0800216,0.0083468,0.0221761,0.0261585,0.0360606
-1046.01,1,0.380237,2,3,0,1049.98,0.00223885,0.0809323,0.0043435,0.0234117,0.0241578,0.033325
-1047.95,0.820668,0.380237,3,15,0,1049.8,0.00432072,0.0197351,0.00594999,0.0252847,0.0220512,0.0507818
-1045.42,0.972555,0.380237,2,3,0,1049.22,0.00742902,0.0266073,0.00418683,0.0227055,0.0219819,0.0450274
-1045.1,0.824451,0.380237,3,7,0,1049.38,0.0470577,0.0260413,0.00422754,0.0259505,0.0219458,0.0327994
-1046.56,0.858103,0.380237,3,7,0,1048.52,0.0443713,0.0364014,0.00623484,0.0248274,0.0269625,0.0376677
-1043.56,0.99501,0.380237,2,7,0,1048.71,0.025896,0.0172276,0.00364852,0.025821,0.0247712,0.0405193
-1043.98,0.889291,0.380237,2,7,0,1046.34,0.0128656,0.0149613,0.00770087,0.0223957,0.0236333,0.0338207
-1043.5,0.990438,0.380237,2,7,0,1045.87,0.0153677,0.0196606,0.00719476,0.0236688,0.0248249,0.030726
-1043.43,0.953828,0.380237,2,3,0,1045.16,0.0255549,0.0198916,0.00600706,0.0216559,0.0231181,0.0297658
-1041.78,0.275342,0.380237,3,7,0,1047.29,0.0167077,0.0120035,0.00621672,0.02486,0.0234212,0.0326054
-1042.09,0.929293,0.380237,2,3,0,1043.08,0.0256263,0.0121897,0.00460059,0.024725,0.024019,0.0376441
-1042.09,0.523851,0.380237,2,7,0,1048.84,0.0256263,0.0121897,0.00460059,0.024725,0.024019,0.0376441
-1042.43,0.90514,0.380237,3,7,0,1043.08,0.0221421,0.0137144,0.00445734,0.0235711,0.0239328,0.0265471
